Heliostat ID,Position X [m],Position Y [m]
1,383.625,179.04
2,154.387,687.766
3,147.918,689.186
4,330.401,568.875
5,-295.618,604.667
6,411.839,416.705
7,425.676,322.499
8,376.689,502.663
9,-405.809,226.284
10,-330.401,568.875
11,364.954,150.722
12,141.435,690.546
13,312.91,96.3309
14,-240.812,645.516
15,-141.435,690.546
16,319.033,102.505
17,-411.839,416.705
18,418.077,291.817
19,421.45,328.002
20,-376.689,502.663
21,354.688,535.923
22,134.94,691.844
23,246.446,54.0529
24,240.812,645.516
25,-134.94,691.844
26,413.355,235.394
27,389.923,473.808
28,-354.688,535.923
29,422.994,366.023
30,-128.434,693.082
31,-121.916,694.258
32,-394.894,201.918
33,128.434,693.082
34,-389.923,473.808
35,-312.91,96.3309
36,121.916,694.258
37,-319.033,102.505
38,401.764,445.294
39,409.05,242.796
40,418.204,371.487
41,-275.389,70.2359
42,-332.378,137.269
43,357.749,143.991
44,287.738,608.456
45,415.537,393.991
46,115.387,695.373
47,-246.446,54.0529
48,-115.387,695.373
49,165.752,19.5818
50,-420.312,349.613
51,-401.764,445.294
52,-391.195,208.994
53,-287.738,608.456
54,-230.233,46.5715
55,-234.945,51.5303
56,108.848,696.426
57,-108.848,696.426
58,322.983,573.119
59,-415.537,393.991
60,-273.589,76.9514
61,416.297,252.192
62,-80.5674,491.731
63,-102.299,697.418
64,-322.983,573.119
65,-95.7417,698.349
66,102.299,697.418
67,-357.749,143.991
68,406.391,422.02
69,161.144,22.7581
70,95.7417,698.349
71,376.448,171.581
72,370.127,507.514
73,80.5674,491.731
74,89.1756,699.217
75,279.808,612.143
76,-89.1756,699.217
77,-418.071,312.483
78,-228.59,54.0619
79,-165.752,19.5818
80,-415.734,355.044
81,-406.391,422.02
82,411.689,259.645
83,347.696,540.486
84,325.386,108.954
85,82.6016,700.024
86,395.945,450.476
87,-216.386,654.109
88,-279.808,612.143
89,-82.6016,700.024
90,-370.127,507.514
91,62.8383,702.074
92,391.1,186.834
93,-62.8383,702.074
94,-76.0203,700.77
95,-347.696,540.486
96,-69.4324,701.453
97,76.0203,700.77
98,216.386,654.109
99,56.2386,702.634
100,-376.448,171.581
101,69.4324,701.453
102,-56.2386,702.634
103,-395.945,450.476
104,315.509,577.267
105,410.383,399.357
106,-161.144,22.7581
107,383.734,478.834
108,-315.509,577.267
109,331.628,115.574
110,417.153,333.449
