"Tx & Rx configuration: _04.r004.  Date: November 7, 2018, 12:00:00",,,
TX ID,Rx ID,<Distance(m)>,<Power(dBm)>
1,2,29.3543,-57.6582
1,3,58.7116,-59.0626
1,4,87.9025,-65.3753
1,5,117.16,-69.1299
1,6,146.384,-72.102
1,7,24.355,-50.0025
1,8,38.1042,-64.8872
1,9,63.4552,-66.1911
1,10,91.1161,-67.9972
1,11,119.602,-66.9494
1,12,148.374,-69.3062
1,13,49.3183,-52.8578
1,14,57.3359,-60.0041
1,15,76.5951,-64.2138
1,16,100.662,-74.8831
1,17,126.992,-68.1908
1,18,154.414,-67.5147
1,19,78.8749,-63.1748
1,20,84.0898,-62.6428
1,21,98.2137,-64.2497
1,22,117.949,-75.3302
1,23,141.096,-70.3237
1,24,166.195,-75.1441
1,25,115.621,-75.1486
1,26,119.281,-61.3669
1,27,129.584,-67.442
1,28,145.129,-75.3112
1,29,164.487,-74.1877
1,30,186.409,-83.6353
2,1,29.3543,-51.8514
2,3,29.3574,-61.7946
2,4,58.5483,-62.3324
2,5,87.8059,-68.5549
2,6,117.03,-64.6461
2,7,38.1672,-55.9392
2,8,24.331,-68.0026
2,9,38.0397,-55.7126
2,10,63.3001,-61.2142
2,11,91.0482,-62.9609
2,12,119.509,-63.3726
2,13,57.4257,-56.3152
2,14,49.3276,-71.6825
2,15,57.3337,-61.7474
2,16,76.4287,-60.2929
2,17,100.578,-72.1228
2,18,126.937,-74.8635
2,19,84.209,-59.6423
2,20,78.8509,-63.0585
2,21,84.0878,-62.7255
2,22,98.0966,-65.0709
2,23,117.905,-68.9376
2,24,141.048,-68.6342
2,25,119.339,-65.3394
2,26,115.664,-68.77
2,27,119.266,-65.9626
2,28,129.534,-74.9364
2,29,145.097,-75.5462
2,30,164.401,-67.3961
3,1,58.7116,-57.4648
3,2,29.3574,-54.2762
3,4,29.191,-61.8286
3,5,58.4485,-58.1872
3,6,87.6724,-72.3727
3,7,63.6272,-64.0927
3,8,38.2099,-54.0868
3,9,24.3975,-58.1784
3,10,37.9372,-54.0398
3,11,63.2639,-65.0653
3,12,90.9783,-66.2863
3,13,76.7838,-64.2433
3,14,57.5455,-63.682
3,15,49.3942,-62.8425
3,16,57.2888,-60.9858
3,17,76.3991,-65.8728
3,18,100.569,-83.1644
3,19,98.4837,-69.4498
3,20,84.2714,-64.918
3,21,78.9508,-61.8949
3,22,84.0922,-76.0835
3,23,98.1439,-65.9457
3,24,117.922,-62.9216
3,25,129.846,-70.3027
3,26,119.468,-67.273
3,27,115.763,-79.5917
3,28,119.331,-66.2491
3,29,129.593,-74.9925
3,30,145.09,-69.3537
4,1,87.9025,-65.7806
4,2,58.5483,-65.2147
4,3,29.191,-60.8258
4,5,29.2575,-66.5403
4,6,58.4814,-70.1371
4,7,91.2938,-61.3886
4,8,63.4996,-62.6303
4,9,38.1761,-54.4444
4,10,24.3975,-48.0259
4,11,38.0566,-60.5955
4,12,63.3636,-69.3051
4,13,100.937,-80.5269
4,14,76.7721,-68.9532
4,15,57.5012,-58.8567
4,16,49.4607,-57.2159
4,17,57.3684,-59.9844
4,18,76.5398,-75.1204
4,19,118.327,-64.2348
4,20,98.4382,-68.8773
4,21,84.3189,-60.6902
4,22,79.0173,-57.8902
4,23,84.2402,-64.5813
4,24,98.2836,-71.2457
4,25,145.508,-82.0772
4,26,129.889,-68.6444
4,27,119.548,-70.6093
4,28,115.863,-59.4943
4,29,119.452,-68.225
4,30,129.682,-71.624
5,1,117.16,-71.9751
5,2,87.8059,-61.9196
5,3,58.4485,-59.9011
5,4,29.2575,-59.9554
5,6,29.2239,-58.1092
5,7,119.752,-67.1214
5,8,91.2158,-63.5191
5,9,63.4949,-70.5049
5,10,38.2016,-53.4342
5,11,24.4641,-56.9777
5,12,38.1204,-52.5533
5,13,127.281,-68.8724
5,14,100.957,-57.988
5,15,76.7137,-58.6974
5,16,57.6093,-54.6431
5,17,49.494,-57.0198
5,18,57.4713,-59.7671
5,19,141.504,-70.3079
5,20,118.298,-73.6323
5,21,98.479,-68.6547
5,22,84.4044,-68.5972
5,23,79.1505,-70.4313
5,24,84.3454,-63.2276
5,25,164.939,-83.8779
5,26,145.554,-69.7384
5,27,129.979,-69.4981
5,28,119.653,-70.4212
5,29,115.963,-68.5514
5,30,119.516,-62.2644
6,1,146.384,-79.598
6,2,117.03,-63.8999
6,3,87.6724,-65.3709
6,4,58.4814,-61.4376
6,5,29.2239,-50.7939
6,7,148.477,-75.4535
6,8,119.622,-62.8467
6,9,91.1517,-62.954
6,10,63.469,-61.5627
6,11,38.1506,-55.6646
6,12,24.4975,-52.3216
6,13,154.624,-69.2163
6,14,127.233,-84.8577
6,15,100.812,-74.107
6,16,76.7645,-54.2367
6,17,57.5468,-57.3627
6,18,49.5274,-56.2965
6,19,166.545,-66.9575
6,20,141.394,-74.4649
6,21,118.246,-60.3725
6,22,98.4988,-74.5076
6,23,84.4553,-74.0676
6,24,79.1838,-73.3975
6,25,186.88,-68.4631
6,26,164.892,-72.7211
6,27,145.56,-72.7084
6,28,130.008,-69.2551
6,29,119.669,-67.4248
6,30,115.963,-72.2404
7,1,24.355,-55.7074
7,2,38.1672,-59.9593
7,3,63.6272,-64.6282
7,4,91.2938,-68.2217
7,5,119.752,-71.9581
7,6,148.477,-75.0157
7,8,29.3571,-49.9366
7,9,58.6476,-54.1339
7,10,87.8718,-66.948
7,11,117.162,-60.4818
7,12,146.419,-81.4259
7,13,24.9634,-55.4407
7,14,38.4672,-58.642
7,15,63.7354,-64.4262
7,16,91.2757,-62.6151
7,17,119.709,-69.4626
7,18,148.486,-67.6119
7,19,54.52,-62.7198
7,20,61.8492,-59.0624
7,21,80.0101,-59.6923
7,22,103.299,-65.0342
7,23,129.099,-67.1451
7,24,156.143,-78.0561
7,25,91.266,-69.1929
7,26,95.8601,-59.4201
7,27,108.419,-65.4129
7,28,126.595,-59.5603
7,29,148.397,-70.3899
7,30,172.386,-75.7224
8,1,38.1042,-63.9933
8,2,24.331,-58.0893
8,3,38.2099,-59.8174
8,4,63.4996,-57.8854
8,5,91.2158,-80.4298
8,6,119.622,-74.1809
8,7,29.3571,-52.255
8,9,29.2905,-47.8301
8,10,58.5147,-62.6209
8,11,87.8052,-60.3409
8,12,117.062,-76.7673
8,13,38.5751,-65.6693
8,14,24.9967,-63.428
8,15,38.4926,-52.7352
8,16,63.5514,-59.6849
8,17,91.2026,-69.8558
8,18,119.65,-67.4757
8,19,61.9935,-62.7366
8,20,54.52,-67.8433
8,21,61.8628,-64.7134
8,22,79.8881,-66.3006
8,23,103.249,-66.0552
8,24,129.053,-69.5128
8,25,95.9461,-65.2245
8,26,91.3326,-74.8185
8,27,95.8612,-73.2128
8,28,108.375,-62.6228
8,29,126.573,-58.1668
8,30,148.318,-74.4328
9,1,63.4552,-56.4779
9,2,38.0397,-52.2861
9,3,24.3975,-60.6716
9,4,38.1761,-55.3952
9,5,63.4949,-58.7416
9,6,91.1517,-58.427
9,7,58.6476,-55.7961
9,8,29.2905,-56.2212
9,10,29.2242,-51.2253
9,11,58.5147,-66.8767
9,12,87.7718,-66.5006
9,13,63.787,-63.0835
9,14,38.5968,-52.008
9,15,24.9967,-51.515
9,16,38.3911,-60.2032
9,17,63.5385,-61.698
9,18,91.2116,-64.619
9,19,80.1863,-64.8912
9,20,61.9621,-64.8178
9,21,54.5533,-58.6634
9,22,61.8154,-63.8821
9,23,79.909,-60.687
9,24,103.266,-64.4933
9,25,108.617,-68.9781
9,26,95.9892,-63.8944
9,27,91.3659,-64.9376
9,28,95.8725,-64.0305
9,29,108.403,-72.3461
9,30,126.55,-64.2834
10,1,91.1161,-67.6071
10,2,63.3001,-64.9171
10,3,37.9372,-62.7051
10,4,24.3975,-56.8564
10,5,38.2016,-54.5552
10,6,63.469,-56.7416
